source	source_node_type	target	target_node_type	edge_type
pubchem.compound:2162	Compound	ncbigene:775	Gene	downregulates
pubchem.compound:2162	Compound	ncbigene:776	Gene	downregulates
pubchem.compound:2162	Compound	ncbigene:779	Gene	downregulates
pubchem.compound:2162	Compound	ncbigene:781	Gene	downregulates
pubchem.compound:2162	Compound	ncbigene:782	Gene	downregulates
pubchem.compound:2162	Compound	ncbigene:783	Gene	downregulates
pubchem.compound:2265	Compound	ncbigene:3308	Gene	upregulates
pubchem.compound:2265	Compound	ncbigene:1234	Gene	downregulates
pubchem.compound:2265	Compound	ncbigene:3251	Gene	downregulates
pubchem.compound:2265	Compound	ncbigene:3614	Gene	downregulates
pubchem.compound:2315	Compound	ncbigene:6559	Gene	downregulates
pubchem.compound:2315	Compound	ncbigene:760	Gene	downregulates
pubchem.compound:2315	Compound	ncbigene:762	Gene	downregulates
pubchem.compound:23725625	Compound	ncbigene:9451	Gene	upregulates
pubchem.compound:23725625	Compound	ncbigene:142	Gene	downregulates
pubchem.compound:2375	Compound	ncbigene:1956	Gene	upregulates
pubchem.compound:2375	Compound	ncbigene:54106	Gene	upregulates
pubchem.compound:2375	Compound	ncbigene:9318	Gene	upregulates
pubchem.compound:2375	Compound	ncbigene:10257	Gene	downregulates
pubchem.compound:2375	Compound	ncbigene:354	Gene	downregulates
pubchem.compound:2375	Compound	ncbigene:367	Gene	downregulates
pubchem.compound:2375	Compound	ncbigene:890	Gene	downregulates
pubchem.compound:2471	Compound	ncbigene:5972	Gene	upregulates
pubchem.compound:2471	Compound	ncbigene:7248	Gene	upregulates
pubchem.compound:2471	Compound	ncbigene:793	Gene	upregulates
pubchem.compound:2471	Compound	ncbigene:1080	Gene	downregulates
pubchem.compound:2471	Compound	ncbigene:140679	Gene	downregulates
pubchem.compound:2471	Compound	ncbigene:1906	Gene	downregulates
pubchem.compound:2471	Compound	ncbigene:2252	Gene	downregulates
pubchem.compound:2471	Compound	ncbigene:3845	Gene	downregulates
pubchem.compound:2471	Compound	ncbigene:57468	Gene	downregulates
pubchem.compound:2471	Compound	ncbigene:641	Gene	downregulates
pubchem.compound:2471	Compound	ncbigene:6558	Gene	downregulates
pubchem.compound:2471	Compound	ncbigene:6560	Gene	downregulates
pubchem.compound:2477	Compound	ncbigene:3350	Gene	upregulates
pubchem.compound:2477	Compound	ncbigene:3363	Gene	upregulates
pubchem.compound:2477	Compound	ncbigene:3558	Gene	upregulates
pubchem.compound:2477	Compound	ncbigene:5617	Gene	upregulates
pubchem.compound:2477	Compound	ncbigene:9407	Gene	upregulates
pubchem.compound:2477	Compound	ncbigene:1813	Gene	downregulates
pubchem.compound:2477	Compound	ncbigene:3357	Gene	downregulates
pubchem.compound:2477	Compound	ncbigene:3358	Gene	downregulates
pubchem.compound:2477	Compound	ncbigene:5021	Gene	downregulates
pubchem.compound:2478	Compound	ncbigene:5054	Gene	upregulates
pubchem.compound:24826799	Compound	ncbigene:143686	Gene	upregulates
pubchem.compound:24826799	Compound	ncbigene:9429	Gene	upregulates
pubchem.compound:24826799	Compound	ncbigene:1080	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:2260	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:2261	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:2263	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:2264	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:2322	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:25	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:3757	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:3791	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:3815	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:3932	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:4067	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:4170	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:5156	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:5979	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:613	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:6774	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:7010	Gene	downregulates
pubchem.compound:24826799	Compound	ncbigene:89845	Gene	downregulates
pubchem.compound:2554	Compound	ncbigene:1543	Gene	upregulates
pubchem.compound:2554	Compound	ncbigene:1544	Gene	upregulates
pubchem.compound:2554	Compound	ncbigene:1557	Gene	upregulates
pubchem.compound:2554	Compound	ncbigene:1576	Gene	upregulates
pubchem.compound:2554	Compound	ncbigene:1577	Gene	upregulates
pubchem.compound:2554	Compound	ncbigene:2064	Gene	upregulates
pubchem.compound:2554	Compound	ncbigene:3558	Gene	downregulates
pubchem.compound:2554	Compound	ncbigene:9360	Gene	upregulates
pubchem.compound:2554	Compound	ncbigene:11280	Gene	downregulates
pubchem.compound:2554	Compound	ncbigene:6240	Gene	downregulates
pubchem.compound:2554	Compound	ncbigene:6323	Gene	downregulates
pubchem.compound:2554	Compound	ncbigene:6328	Gene	downregulates
pubchem.compound:2554	Compound	ncbigene:6329	Gene	downregulates
pubchem.compound:2554	Compound	ncbigene:6332	Gene	downregulates
pubchem.compound:2554	Compound	ncbigene:6334	Gene	downregulates
pubchem.compound:2554	Compound	ncbigene:6336	Gene	downregulates
pubchem.compound:2554	Compound	ncbigene:6750	Gene	downregulates
pubchem.compound:2554	Compound	ncbigene:959	Gene	downregulates
pubchem.compound:2708	Compound	ncbigene:7913	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:142	Gene	upregulates
pubchem.compound:2719	Compound	ncbigene:3162	Gene	upregulates
pubchem.compound:2719	Compound	ncbigene:472	Gene	upregulates
pubchem.compound:2719	Compound	ncbigene:7072	Gene	upregulates
pubchem.compound:2719	Compound	ncbigene:7157	Gene	upregulates
pubchem.compound:2719	Compound	ncbigene:9423	Gene	upregulates
pubchem.compound:2719	Compound	ncbigene:9902	Gene	upregulates
pubchem.compound:2719	Compound	ncbigene:1520	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:1565	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:1576	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:2056	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:2353	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:2946	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:3315	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:3553	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:4318	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:53905	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:54106	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:551	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:5604	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:5605	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:6334	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:653361	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:7124	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:7450	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:836	Gene	downregulates
pubchem.compound:2719	Compound	ncbigene:958	Gene	downregulates
pubchem.compound:2756	Compound	ncbigene:3274	Gene	downregulates
pubchem.compound:2756	Compound	ncbigene:5617	Gene	upregulates
pubchem.compound:2756	Compound	ncbigene:10752	Gene	downregulates
pubchem.compound:2756	Compound	ncbigene:212	Gene	downregulates
pubchem.compound:2756	Compound	ncbigene:3196	Gene	downregulates
pubchem.compound:2756	Compound	ncbigene:51109	Gene	downregulates
pubchem.compound:2756	Compound	ncbigene:6401	Gene	downregulates
pubchem.compound:2756	Compound	ncbigene:6750	Gene	downregulates
pubchem.compound:2756	Compound	ncbigene:8549	Gene	downregulates
pubchem.compound:2756	Compound	ncbigene:9518	Gene	downregulates
pubchem.compound:2763	Compound	ncbigene:1071	Gene	upregulates
pubchem.compound:2763	Compound	ncbigene:335	Gene	upregulates
pubchem.compound:2763	Compound	ncbigene:6822	Gene	upregulates
pubchem.compound:2763	Compound	ncbigene:949	Gene	upregulates
pubchem.compound:2763	Compound	ncbigene:1401	Gene	downregulates
pubchem.compound:2763	Compound	ncbigene:1581	Gene	downregulates
pubchem.compound:2763	Compound	ncbigene:57016	Gene	downregulates
pubchem.compound:2764	Compound	ncbigene:2054	Gene	upregulates
pubchem.compound:2764	Compound	ncbigene:3106	Gene	upregulates
pubchem.compound:2764	Compound	ncbigene:3107	Gene	upregulates
pubchem.compound:2764	Compound	ncbigene:3558	Gene	upregulates
pubchem.compound:2764	Compound	ncbigene:4312	Gene	upregulates
pubchem.compound:2764	Compound	ncbigene:5347	Gene	upregulates
pubchem.compound:2764	Compound	ncbigene:7957	Gene	upregulates
pubchem.compound:2764	Compound	ncbigene:8128	Gene	upregulates
pubchem.compound:2764	Compound	ncbigene:836	Gene	upregulates
pubchem.compound:2764	Compound	ncbigene:1490	Gene	downregulates
pubchem.compound:2764	Compound	ncbigene:1544	Gene	downregulates
pubchem.compound:2764	Compound	ncbigene:1576	Gene	downregulates
pubchem.compound:2764	Compound	ncbigene:7153	Gene	downregulates
pubchem.compound:2764	Compound	ncbigene:7155	Gene	downregulates
pubchem.compound:2764	Compound	ncbigene:9376	Gene	downregulates
pubchem.compound:2764	Compound	ncbigene:9407	Gene	downregulates
pubchem.compound:2771	Compound	ncbigene:3358	Gene	downregulates
pubchem.compound:2771	Compound	ncbigene:3741	Gene	downregulates
pubchem.compound:2771	Compound	ncbigene:3757	Gene	downregulates
pubchem.compound:2771	Compound	ncbigene:6532	Gene	downregulates
pubchem.compound:2771	Compound	ncbigene:6750	Gene	downregulates
pubchem.compound:2771	Compound	ncbigene:9407	Gene	downregulates
pubchem.compound:2794	Compound	ncbigene:142	Gene	upregulates
pubchem.compound:2794	Compound	ncbigene:5319	Gene	upregulates
pubchem.compound:2794	Compound	ncbigene:123	Gene	downregulates
pubchem.compound:2794	Compound	ncbigene:22943	Gene	downregulates
