source	target	relation	source_database
drugbank:DB01200	HGNC:283	1	drugbank
drugbank:DB12010	HGNC:2545	-1	drugbank
drugbank:DB00733	HGNC:108	1	drugbank
drugbank:DB09559	HGNC:3236	-1	drugbank
drugbank:DB00458	HGNC:277	-1	drugbank
drugbank:DB06201	HGNC:4597	-1	drugbank
drugbank:DB01203	HGNC:285	-1	drugbank
drugbank:DB00543	HGNC:5286	-1	drugbank
drugbank:DB12278	HGNC:1950	-1	drugbank
drugbank:DB05271	HGNC:282	-1	drugbank
drugbank:DB00594	HGNC:11071	-1	drugbank
drugbank:DB00481	HGNC:3467	1	drugbank
drugbank:DB00418	HGNC:4572	-1	drugbank
drugbank:DB00824	HGNC:268	-1	drugbank
drugbank:DB00420	HGNC:3020	-1	drugbank
drugbank:DB08813	HGNC:7553	-1	drugbank
drugbank:DB01102	HGNC:286	1	drugbank
drugbank:DB01351	HGNC:1960	-1	drugbank
drugbank:DB01621	HGNC:5293	-1	drugbank
drugbank:DB06700	HGNC:11050	-1	drugbank
drugbank:DB12010	HGNC:1925	-1	drugbank
drugbank:DB00231	HGNC:4083	1	drugbank
drugbank:DB01437	HGNC:4087	1	drugbank
drugbank:DB13345	HGNC:3020	-1	drugbank
drugbank:DB00704	HGNC:8156	-1	drugbank
drugbank:DB13146	HGNC:4571	-1	drugbank
drugbank:DB00836	HGNC:8153	1	drugbank
drugbank:DB00869	HGNC:1373	-1	drugbank
drugbank:DB00659	HGNC:16767	-1	drugbank
drugbank:DB04896	HGNC:11050	-1	drugbank
drugbank:DB11691	HGNC:8154	-1	drugbank
drugbank:DB00193	HGNC:11050	-1	drugbank
drugbank:DB13151	HGNC:3531	1	drugbank
drugbank:DB09342	HGNC:10590	-1	drugbank
drugbank:DB00180	HGNC:7978	1	drugbank
drugbank:DB00715	HGNC:1954	-1	drugbank
drugbank:DB12010	HGNC:14402	-1	drugbank
drugbank:DB00327	HGNC:8153	1	drugbank
drugbank:DB01588	HGNC:4084	1	drugbank
drugbank:DB00186	HGNC:4084	1	drugbank
drugbank:DB09118	HGNC:4075	1	drugbank
drugbank:DB01158	HGNC:799	-1	drugbank
drugbank:DB01095	HGNC:5006	-1	drugbank
drugbank:DB09238	HGNC:1388	-1	drugbank
drugbank:DB06209	HGNC:18124	-1	drugbank
drugbank:DB00935	HGNC:280	1	drugbank
drugbank:DB00257	HGNC:24827	1	drugbank
drugbank:DB01017	HGNC:7176	-1	drugbank
drugbank:DB00308	HGNC:1390	1	drugbank
drugbank:DB00731	HGNC:9236	1	drugbank
drugbank:DB12010	HGNC:7027	-1	drugbank
drugbank:DB00523	HGNC:9864	1	drugbank
drugbank:DB00541	HGNC:20778	-1	drugbank
drugbank:DB01236	HGNC:4571	-1	drugbank
drugbank:DB00334	HGNC:3026	-1	drugbank
drugbank:DB01426	HGNC:10593	-1	drugbank
drugbank:DB01241	HGNC:10972	-1	drugbank
drugbank:DB01114	HGNC:11049	-1	drugbank
drugbank:DB00321	HGNC:6296	-1	drugbank
drugbank:DB01069	HGNC:5183	-1	drugbank
drugbank:DB13746	HGNC:1388	-1	drugbank
drugbank:DB12010	HGNC:9404	-1	drugbank
drugbank:DB00555	HGNC:1954	-1	drugbank
drugbank:DB01267	HGNC:5286	-1	drugbank
drugbank:DB09069	HGNC:82	-1	drugbank
drugbank:DB00622	HGNC:278	-1	drugbank
drugbank:DB01558	HGNC:4076	1	drugbank
drugbank:DB00477	HGNC:3020	-1	drugbank
drugbank:DB00381	HGNC:1390	-1	drugbank
drugbank:DB15035	HGNC:3432	-1	drugbank
drugbank:DB00464	HGNC:9456	-1	drugbank
drugbank:DB01393	HGNC:10478	1	drugbank
drugbank:DB00499	HGNC:644	-1	drugbank
drugbank:DB00306	HGNC:4083	1	drugbank
drugbank:DB00421	HGNC:25812	-1	drugbank
drugbank:DB00795	HGNC:11609	-1	drugbank
drugbank:DB13961	HGNC:7795	1	drugbank
drugbank:DB01183	HGNC:8153	-1	drugbank
drugbank:DB05219	HGNC:8780	-1	drugbank
drugbank:DB11994	HGNC:2640	-1	drugbank
